MoveId,Category,Element,Trait,GrowthType,GrowthRate,Cost,BasePower,StunDamage,AuraDamage,Difficulty,FaultRate,Participants,AllowedElements,AllowedPositions,AllowedGenders,AllowedSizes,RequiredParticipantElements,RequiredParticipantMoves
eco_elastico,dribble,forest,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
mole_dribble,dribble,earth,none,s,fast,5,10,0,0,0,0,1,,,,,,
world_tour,dribble,earth,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
gaia_elastico,dribble,earth,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
bolt_feint,dribble,electric,none,s,fast,5,10,0,0,0,0,1,,,,,,
transmission,dribble,electric,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
lightning_elastico,dribble,electric,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
tide_feint,dribble,water,none,s,fast,5,10,0,0,0,0,1,,,,,,
water_walk,dribble,water,none,uraga,medium,25,30,0,0,0,0,1,,,,,,
seaside_dream,dribble,water,none,delchi,slow,40,50,0,0,0,0,1,,,,,,
blaze_defense,block,fire,none,s,fast,5,10,0,0,0,0,1,,,,,,
pyro_protector,block,fire,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
burn_zone,block,fire,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
ice_block,block,ice,block,s,fast,5,10,0,0,0,0,1,,,,,,
snow_house_shield,block,ice,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
glacial_slide,block,ice,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
saint_cut,block,holy,block,s,fast,5,10,0,0,0,0,1,,,,,,
sacred_shield,block,holy,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
white_light,block,holy,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
dark_block,block,evil,block,s,fast,5,10,0,0,0,0,1,,,,,,
poison_fog,block,evil,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
no_return,block,evil,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
breeze_defense,block,air,none,s,fast,5,10,0,0,0,0,1,,,,,,
sprinter_cutter,block,air,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
typhoon_zone,block,air,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
the_tree,block,forest,block,s,fast,5,10,0,0,0,0,1,,,,,,
flower_cutter,block,forest,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
sequoia,block,forest,block,delchi,slow,40,60,0,0,0,0,1,,,,,,
earth_defense,block,earth,block,s,fast,5,10,0,0,0,0,1,,,,,,
sand_guard,block,earth,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
stone_zone,block,earth,block,delchi,slow,40,60,0,0,0,0,1,,,,,,
electric_charge,block,electric,none,s,fast,5,10,0,0,0,0,1,,,,,,
plasma_shock,block,electric,block,uraga,medium,30,20,0,0,0,0,1,,,,,,
electron_zone,block,electric,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
shell_wall,block,water,block,s,fast,5,10,0,0,0,0,1,,,,,,
man-eater_whale,block,water,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
swim_slide,block,water,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
ash_spirits,catch,fire,catch,s,fast,5,10,0,0,0,0,1,,,,,,
infernal_world,catch,fire,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
blazing_mirage,catch,fire,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
frostfall,catch,ice,catch,s,fast,5,10,0,0,0,0,1,,,,,,
frozen_world,catch,ice,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
eternal_frost,catch,ice,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
the_sun,catch,holy,catch,s,fast,5,10,0,0,0,0,1,,,,,,
reflection,catch,holy,catch,uraga,medium,30,20,0,0,0,0,1,,,,,,
salvation,catch,holy,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
the_moon,catch,evil,catch,s,fast,5,10,0,0,0,0,1,,,,,,
other_world,catch,evil,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
extinction,catch,evil,punch2,delchi,slow,40,60,0,0,0,0,1,,,,,,
storm_spirits,catch,air,punch2,s,fast,5,10,0,0,0,0,1,,,,,,
extreme_cyclone,catch,air,catch,uraga,medium,30,20,0,0,0,0,1,,,,,,
tempest_trap,catch,air,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
nature_spirits,catch,forest,catch,s,fast,5,10,0,0,0,0,1,,,,,,
vine_bind,catch,forest,catch,uraga,medium,30,20,0,0,0,0,1,,,,,,
forest_trap,catch,forest,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
canyon_catch,catch,earth,catch,s,fast,5,10,0,0,0,0,1,,,,,,
desert_world,catch,earth,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
finisterra,catch,earth,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
magnet_catch,catch,electric,catch,s,fast,5,10,0,0,0,0,1,,,,,,
wire_world,catch,electric,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
zap_trap,catch,electric,punch2,delchi,slow,40,60,0,0,0,0,1,,,,,,
sea_anemone,catch,water,catch,s,fast,5,10,0,0,0,0,1,,,,,,
deep_world,catch,water,punch1,uraga,medium,30,20,0,0,0,0,1,,,,,,
river_drift,catch,water,catch,delchi,slow,40,60,0,0,0,0,1,,,,,,
