TeamId,KitId,EmblemId,Lv,FullBattleFormationId,FullBattleCharacterId0,FullBattleCharacterId1,FullBattleCharacterId2,FullBattleCharacterId3,FullBattleCharacterId4,FullBattleCharacterId5,FullBattleCharacterId6,FullBattleCharacterId7,FullBattleCharacterId8,FullBattleCharacterId9,FullBattleCharacterId10,FullBattleCharacterId11,FullBattleCharacterId12,FullBattleCharacterId13,FullBattleCharacterId14,FullBattleCharacterId15,MiniBattleFormationId,MiniBattleCharacterId0,MiniBattleCharacterId1,MiniBattleCharacterId2,MiniBattleCharacterId3
team-00007-great_capitain,kit-00001-faith,emblem-00007-great_capitain,99,ffull-008-swift,chara-00104-irene,chara-00097-noelia,chara-00080-cantador,chara-00084-barbara,chara-00082-lidia,chara-00066-ana,chara-00063-victor,chara-00049-alba,chara-00071-ester,chara-00081-tolosa,chara-00073-teresa,chara-00076-tamara,,,,,fmini-002-defense,chara-00104-irene,chara-00080-cantador,chara-00049-alba,chara-00081-tolosa
team-00008-flying_cierva,kit-00005-hope,emblem-00008-flying_cierva,99,ffull-003-glide,chara-00068-tensi,chara-00123-aragon,chara-00091-alma,chara-00060-carmen ,chara-00096-nerea ,chara-00077-beni,chara-00111-aguero ,chara-00137-ramon,chara-00136-antonio,chara-00105-matias,chara-00062-nuria,chara-00152-borja,,,,,fmini-002-defense,chara-00068-tensi,chara-00060-carmen ,chara-00111-aguero ,chara-00062-nuria
team-00009-atena,kit-00003-balance,emblem-00009-atena,99,ffull-005-starlight,chara-00036-flores,chara-00059-bea  ,chara-00080-cantador,chara-00024-francisco,chara-00144-serena  ,chara-00106-luz,chara-00026-paloma,chara-00051-eva ,chara-00121-sacarosa,chara-00130-angel,chara-00045-miguel,chara-00153-pamela,,,,,fmini-001-offense,chara-00036-flores,chara-00144-serena  ,chara-00121-sacarosa,chara-00045-miguel
team-00010-port_virgin,kit-00001-faith,emblem-00010-port_virgin,99,ffull-008-swift,chara-00009-juan,chara-00004-raquel,chara-00024-francisco   ,chara-00057-herrero ,chara-00026-paloma ,chara-00051-eva ,chara-00008-lucas,chara-00014-julia,chara-00037-pepe ,chara-00015-maria ,chara-00032-vera,chara-00148-agueda,,,,,fmini-002-defense,chara-00009-juan,chara-00026-paloma ,chara-00008-lucas,chara-00015-maria 
team-00011-garden_rangers,kit-00003-balance,emblem-00011-garden_rangers,99,ffull-003-glide,chara-00153-pamela,chara-00012-zarande,chara-00004-raquel  ,chara-00089-roble,chara-00127-regina,chara-00032-vera,chara-00122-enrique,chara-00085-marta,chara-00037-pepe,chara-00071-ester,chara-00126-ave,chara-00036-flores,,,,,fmini-002-defense,chara-00153-pamela,chara-00004-raquel ,chara-00089-roble,chara-00126-ave
team-00012-almudena_prayers,kit-00001-faith,emblem-00012-almudena_prayers,99,ffull-003-glide,chara-00009-juan,chara-00004-raquel,chara-00024-francisco,chara-00057-herrero,chara-00034-samara,chara-00026-paloma ,chara-00051-eva,chara-00008-lucas,chara-00014-julia,chara-00014-julia ,chara-00027-almu  ,chara-00039-arga,,,,,fmini-002-defense,chara-00009-juan,chara-00034-samara  ,chara-00008-lucas,chara-00027-almu  
team-00013-evangegoal,kit-00001-faith,emblem-00013-evangegoal,99,ffull-001-faith,chara-00065-pedro,chara-00025-isidro,chara-00024-francisco,chara-00006-mateo,chara-00008-lucas,chara-00106-luz,chara-00052-adan,chara-00051-eva,chara-00026-paloma,chara-00131-noa,chara-00015-maria,chara-00009-juan,chara-00035-dolores,chara-00007-marcos,chara-00055-fatima,chara-00108-zacarias,fmini-002-defense,chara-00065-pedro,chara-00006-mateo,chara-00051-eva,chara-00015-maria
team-00014-football_fantasista,kit-00002-crimson,emblem-00014-football_fantasista,99,ffull-002-crimson,chara-00110-isaac,chara-00053-jorge,chara-00099-elisa,chara-00157-apa,chara-00041-kike,chara-00063-victor,chara-00129-bombi,chara-00058-ruiz,chara-00002-mohamed,chara-00158-hierro,chara-00015-maria,chara-00076-tamara,chara-00109-begona,chara-00069-illana,chara-00026-paloma,chara-00088-sofireca,fmini-001-offense,chara-00110-isaac,chara-00053-jorge,chara-00063-victor,chara-00002-mohamed
team-00015-fc_wings,kit-00001-faith,emblem-00015-fc_wings,99,ffull-002-crimson,chara-00101-sancho,chara-00075-alexander,chara-00123-aragon,chara-00060-carmen,chara-00124-inquina,chara-00136-antonio,chara-00117-ruperta,chara-00067-satu,chara-00100-quijote,chara-00073-teresa,chara-00011-abudera,chara-00145-paco,chara-00016-guli,chara-00042-gambino,chara-00105-matias,chara-00131-noa,fmini-002-defense,chara-00101-sancho,chara-00075-alexander,chara-00117-ruperta,chara-00100-quijote
team-00001-m-crimson_flood,kit-00002-crimson,emblem-00001-m-crimson_flood,99,ffull-002-crimson,chara-00010-ali,chara-00043-ima,chara-00016-guli,chara-00109-begona,chara-00048-nina,chara-00116-malasana,chara-00023-ayud,chara-00054-gura,chara-00132-debora,chara-00077-beni,chara-00096-nerea,,,,,,fmini-002-defense,chara-00010-ali,chara-00016-guli,chara-00023-ayud,chara-00077-beni
team-00002-m-crimson_crash,kit-00002-crimson,emblem-00002-m-crimson_crash,99,ffull-002-crimson,chara-00010-ali,chara-00116-malasana,chara-00016-guli,chara-00109-begona,chara-00048-nina,chara-00040-malaki,chara-00023-ayud,chara-00054-gura,chara-00132-debora,chara-00077-beni,chara-00096-nerea,chara-00043-ima,,,,,fmini-002-defense,chara-00010-ali,chara-00016-guli,chara-00040-malaki,chara-00077-beni
team-00003-m-crimson_out,kit-00002-crimson,emblem-00003-m-crimson_out,99,ffull-002-crimson,chara-00010-ali,chara-00124-inquina,chara-00016-guli,chara-00109-begona,chara-00048-nina,chara-00040-malaki,chara-00023-ayud,chara-00054-gura,chara-00132-debora,chara-00077-beni,chara-00096-nerea,chara-00043-ima,,,,,fmini-002-defense,chara-00010-ali,chara-00124-inquina,chara-00040-malaki,chara-00077-beni
team-00004-m-crimson_fire,kit-00002-crimson,emblem-00004-m-crimson_fire,99,ffull-002-crimson,chara-00010-ali,chara-00124-inquina,chara-00016-guli,chara-00109-begona,chara-00048-nina,chara-00040-malaki,chara-00023-ayud,chara-00054-gura,chara-00077-beni,chara-00030-nervor,chara-00096-nerea,chara-00043-ima,,,,,fmini-001-offense,chara-00010-ali,chara-00124-inquina,chara-00040-malaki,chara-00030-nervor
team-00005-m-school_bullies,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00093-padial,chara-00057-herrero,chara-00123-aragon,chara-00094-galilea
team-00006-m-pretty_soccer,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00104-irene,chara-00092-vega,chara-00069-illana,chara-00073-teresa
team-00007-m-asphalt_kings,kit-00005-hope,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00065-pedro,chara-00047-carlos,chara-00042-gambino,chara-00063-victor
team-00008-m-dog_walkers,kit-00001-faith,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00041-kike,chara-00058-ruiz,chara-00005-puchi,chara-00038-gilimon
team-00009-m-hat_trick,kit-00003-balance,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00025-isidro,chara-00042-gambino,chara-00037-pepe,chara-00149-chulo
team-00010-m-ufo_sightings,kit-00004-enigma,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00070-teruel,chara-00092-vega,chara-00125-quevedo,chara-00079-alejandra
team-00011-m-river_flow,kit-00001-faith,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00008-lucas,chara-00138-meli,chara-00083-anastasia,chara-00147-manu
team-00012-m-picnic_squad,kit-00003-balance,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00036-flores,chara-00085-marta,chara-00032-vera,chara-00045-miguel
team-00013-m-bridge_brigade,kit-00004-enigma,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00065-pedro,chara-00112-fernando,chara-00121-sacarosa,chara-00113-aldruco
team-00014-m-deep_divers,kit-00001-faith,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00039-arga,chara-00071-ester,chara-00142-patricia,chara-00137-ramon
team-00015-m-whirlpool,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00072-clari,chara-00139-conchi,chara-00146-mar,chara-00131-noa
team-00016-m-sewer_rats,kit-00004-enigma,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00133-alvaro,chara-00094-galilea,chara-00046-pablo,chara-00090-elena
team-00017-m-balloon_delivery,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00076-tamara,chara-00018-lape,chara-00020-chen,chara-00009-juan
team-00018-m-crossing_guards,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00135-vicente,chara-00089-roble,chara-00012-zarande,chara-00126-ave
team-00019-m-skate_queens,kit-00005-hope,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00074-paula,chara-00084-barbara,chara-00078-lucia,chara-00081-tolosa
team-00020-m-all_aboard,kit-00003-balance,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00086-carolina,chara-00021-luis,chara-00014-julia,chara-00003-laura
team-00021-m-fast_foodies,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00028-picolo,chara-00049-alba,chara-00127-regina,chara-00132-debora
team-00022-m-lost_luggage,kit-00004-enigma,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00136-antonio,chara-00143-esteban,chara-00080-cantador,chara-00134-ignacio
team-00023-m-gambling_addicts,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00019-wang,chara-00013-fran,chara-00047-carlos,chara-00077-beni
team-00024-m-multisports,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00034-samara,chara-00022-demoratan,chara-00026-paloma,chara-00031-pichi
team-00025-m-alley_kickers,kit-00003-balance,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00059-bea,chara-00140-isa,chara-00082-lidia,chara-00011-abudera
team-00026-m-company_defenders,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00053-jorge,chara-00064-tonio,chara-00096-nerea,chara-00097-noelia
team-00027-m-voltage_unit,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00029-sumi,chara-00129-bombi,chara-00035-dolores,chara-00108-zacarias
team-00028-m-circuit_breakers,kit-00003-balance,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00087-sofia,chara-00068-tensi,chara-00050-roberto,chara-00033-pila
team-00029-m-sleepwalkers,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00101-sancho,chara-00102-don,chara-00103-rocinante,chara-00100-quijote
team-00030-m-medusa,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00146-mar,chara-00128-eterna,chara-00148-agueda,chara-00005-puchi
team-00031-m-spooky,kit-00004-enigma,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00098-nieves,chara-00118-piruja,chara-00048-nina,chara-00132-debora
team-00032-m-burning_mojo,kit-00003-balance,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00066-ana,chara-00060-carmen,chara-00091-alma,chara-00055-fatima
team-00033-m-canary_birds,kit-00005-hope,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00056-macarena,chara-00051-eva,chara-00052-adan,chara-00061-pio
team-00034-m-fishermen,kit-00001-faith,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00145-paco,chara-00006-mateo,chara-00024-francisco,chara-00099-elisa
team-00035-m-magmatics,kit-00004-enigma,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00044-candela,chara-00106-luz,chara-00104-irene,chara-00114-lola
team-00036-m-containers,kit-00003-balance,emblem-00000-a-generic_common,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00101-sancho,chara-00111-aguero,chara-00069-illana,chara-00120-azucar
team-00037-m-ash_walkers,kit-00005-hope,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00151-banderas,chara-00123-aragon,chara-00122-enrique,chara-00116-malasana
team-00038-m-drowned_in_mud,kit-00001-faith,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00155-porti,chara-00043-ima,chara-00010-ali,chara-00077-beni
team-00039-m-derailplosion,kit-00003-balance,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00104-irene,chara-00040-malaki,chara-00156-pani,chara-00090-elena
team-00040-m-black_outsiders,kit-00005-hope,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-002-defense,chara-00152-borja,chara-00157-apa,chara-00124-inquina,chara-00028-picolo
team-00041-m-burned_alive,kit-00002-crimson,emblem-00000-b-generic_rare,99,ffull-001-faith,,,,,,,,,,,,,,,,,fmini-001-offense,chara-00151-banderas,chara-00114-lola,chara-00030-nervor,chara-00158-hierro
team-00001-e-real_spain_2026,kit-00002-crimson,emblem-00001-e-real_spain_2026,99,ffull-005-starlight,chara-00141-uraisa,chara-00080-cantador,chara-00019-wang,chara-00123-aragon,chara-00022-demoratan,chara-00078-lucia,chara-00040-malaki,chara-00130-angel ,chara-00023-ayud,chara-00051-eva,chara-00158-hierro,chara-00065-pedro,chara-00042-gambino,chara-00053-jorge,chara-00018-lape,chara-00030-nervor ,fmini-002-defense,chara-00141-uraisa,chara-00080-cantador,chara-00040-malaki,chara-00158-hierro
