ZoneId,TeamId,Level,BgmId,BallId,EncounterRate,HasTimeOfDayRestriction,TimeOfDay,Drops
zone_overworld_sidewalk,team-00017-m-balloon_delivery,21,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00003-brave_potatoes#1#2#0.40|item-material-00002-ice_cube#1#2#0.35
zone_overworld_sidewalk,team-00018-m-crossing_guards,22,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00010-pil_pil_cod#1#1#0.25|item-material-00002-ice_cube#1#2#0.40
zone_overworld_sidewalk,team-00019-m-skate_queens,24,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00003-brave_potatoes#1#2#0.45|item-recovery-00010-pil_pil_cod#1#1#0.35|item-material-00002-ice_cube#1#3#0.60
zone_interior_dungeon_train_f1,team-00020-m-all_aboard,26,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00011-construction_cone#1#1#0.50|item-material-00005-star_dust#1#2#0.35
zone_interior_dungeon_train_f1,team-00021-m-fast_foodies,28,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00011-construction_cone#1#1#0.50|item-material-00005-star_dust#1#2#0.40
zone_interior_dungeon_train_f1,team-00022-m-lost_luggage,30,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00011-construction_cone#1#2#0.70|item-material-00005-star_dust#1#3#0.60
zone_interior_dungeon_train_f2,team-00020-m-all_aboard,26,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00011-construction_cone#1#1#0.50|item-material-00005-star_dust#1#2#0.35
zone_interior_dungeon_train_f2,team-00021-m-fast_foodies,28,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00011-construction_cone#1#1#0.50|item-material-00005-star_dust#1#2#0.40
zone_interior_dungeon_train_f2,team-00022-m-lost_luggage,30,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00011-construction_cone#1#2#0.70|item-material-00005-star_dust#1#3#0.60
zone_overworld_street_liner,team-00023-m-gambling_addicts,31,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00004-croquettes#1#2#0.40|item-material-00007-tough_stone#1#2#0.35
zone_overworld_street_liner,team-00024-m-multisports,32,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00011-galician_octopus#1#1#0.25|item-material-00007-tough_stone#1#2#0.40
zone_overworld_street_liner,team-00025-m-alley_kickers,34,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00004-croquettes#1#2#0.45|item-recovery-00011-galician_octopus#1#1#0.35|item-material-00007-tough_stone#1#3#0.60
zone_interior_dungeon_power_plant_f0,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f0,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f0,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f1,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f1,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f1,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f2,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f2,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f2,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f3,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f3,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f3,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f5,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f5,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f5,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f6,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f6,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f6,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f7,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f7,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f7,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f8,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f8,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f8,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_interior_dungeon_power_plant_f9,team-00026-m-company_defenders,36,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.35
zone_interior_dungeon_power_plant_f9,team-00027-m-voltage_unit,38,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00012-weighted_clothing#1#1#0.50|item-material-00008-electric_wire#1#2#0.40
zone_interior_dungeon_power_plant_f9,team-00028-m-circuit_breakers,40,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00012-weighted_clothing#1#2#0.70|item-material-00008-electric_wire#1#3#0.60
zone_overworld_dream_space,team-00029-m-sleepwalkers,41,bgm-battle,ball-00001-default,0.4,FALSE,Day,
zone_overworld_dream_space,team-00030-m-medusa,42,bgm-battle,ball-00001-default,0.4,FALSE,Day,
zone_overworld_dream_space,team-00031-m-spooky,44,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,
zone_overworld_island,team-00032-m-burning_mojo,46,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00005-calamari_sandwich#1#2#0.40|item-material-00009-sea_water#1#2#0.35
zone_overworld_island,team-00033-m-canary_birds,48,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00012-asturian_bean_stew#1#1#0.25|item-material-00009-sea_water#1#2#0.40
zone_overworld_island,team-00034-m-fishermen,50,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00005-calamari_sandwich#1#2#0.45|item-recovery-00012-asturian_bean_stew#1#1#0.35|item-material-00009-sea_water#1#3#0.60
zone_interior_dungeon_volcano_f0,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f0,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f0,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f1,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f1,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f1,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f2,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f2,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f2,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f3,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f3,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f3,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f4,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f4,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f4,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f5,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f5,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f5,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f6,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f6,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f6,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f7,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f7,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f7,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_volcano_f8,team-00035-m-magmatics,51,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.35
zone_interior_dungeon_volcano_f8,team-00036-m-containers,53,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00010-kicked_can#1#1#0.50|item-material-00001-magma_rock#1#2#0.40
zone_interior_dungeon_volcano_f8,team-00037-m-ash_walkers,55,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00010-kicked_can#1#2#0.70|item-material-00001-magma_rock#1#3#0.60
zone_interior_dungeon_final_f1,team-00038-m-drowned_in_mud,70,bgm-battle,ball-00002-crimson,0.25,TRUE,Day,
zone_interior_dungeon_final_f1,team-00039-m-derailplosion,70,bgm-battle,ball-00002-crimson,0.25,TRUE,Day,
zone_interior_dungeon_final_f1,team-00040-m-black_outsiders,70,bgm-battle,ball-00002-crimson,0.25,TRUE,Day,
zone_interior_dungeon_final_f1,team-00041-m-burned_alive,70,bgm-battle,ball-00002-crimson,0.25,TRUE,Day,
